Date,Leads,Email_Promo,Road_Show,Event,Display_Ads,Email_Promo_spent,Road_Show_spent,Event_spent,Display_Ads_spent,Est_Rev
2015/03/23,7,1,1,0,1,5500,10000,0,7500,218900.11
2015/03/24,3,1,0,1,1,5500,0,15000,7500,100100.11
2015/03/25,1,1,0,1,1,5500,0,15000,7500,27500.11
2015/03/26,2,1,0,1,0,5500,0,15000,0,72600.11
2015/03/27,1,1,1,1,0,5500,10000,15000,0,37400.11
2015/03/30,1,1,1,0,1,5500,10000,0,7500,27500.11
2015/04/01,2,1,0,1,1,5500,0,15000,7500,55000.11
2015/04/02,2,1,0,1,1,5500,0,15000,7500,63800.11
2015/04/03,31,1,0,1,0,5500,0,15000,0,1125300.11
2015/04/07,1,1,1,1,0,5500,10000,15000,0,36300.11
2015/04/08,3,1,0,1,0,5500,0,15000,0,82500.11
2015/04/10,3,0,0,1,0,0,0,15000,0,91300.11
2015/04/13,1,1,1,0,1,5500,10000,0,7500,27500.11
2015/04/14,6,1,1,0,1,5500,10000,0,7500,218900.11
2015/04/15,1,1,0,1,1,5500,0,15000,7500,27500.11
2015/04/16,2,1,0,1,1,5500,0,15000,7500,63800.11
2015/04/17,1,1,0,1,0,5500,0,15000,0,27500.11
2015/04/20,1,1,1,1,0,5500,10000,15000,0,36300.11
2015/04/22,2,1,0,1,0,5500,0,15000,0,77000.11
2015/04/23,3,1,1,0,1,5500,10000,0,7500,100100.11
2015/04/24,3,1,0,1,1,5500,0,15000,7500,100100.11
2015/04/27,2,1,0,1,1,5500,0,15000,7500,85800.11
2015/04/29,4,1,0,1,0,5500,0,15000,0,128700.11
2015/05/05,2,1,1,1,0,5500,10000,15000,0,55000.11
2015/05/06,4,1,0,1,0,5500,0,15000,0,158400.11
2015/05/07,4,0,0,1,0,0,0,15000,0,145200.11
2015/05/11,14,1,1,0,1,5500,10000,0,7500,490600.11
2015/05/12,2,1,0,1,1,5500,0,15000,7500,63800.11
2015/05/13,2,1,1,0,1,5500,10000,0,7500,63800.11
2015/05/14,5,1,0,1,1,5500,0,15000,7500,154000.11
2015/05/15,2,1,0,1,1,5500,0,15000,7500,63800.11
2015/05/18,2,1,0,1,0,5500,0,15000,0,64900.11
2015/05/19,4,1,1,1,0,5500,10000,15000,0,149600.11
2015/05/20,6,1,0,1,0,5500,0,15000,0,248600.11
2015/05/22,2,1,0,1,1,5500,0,15000,7500,77000.11
2015/05/25,4,1,0,1,0,5500,0,15000,0,145200.11
2015/05/26,4,1,1,1,0,5500,10000,15000,0,127600.11
2015/05/27,6,1,0,1,0,5500,0,15000,0,182600.11
2015/05/28,16,0,0,1,0,0,0,15000,0,572000.11
2015/06/01,3,1,1,0,1,5500,10000,0,7500,108900.11
2015/06/02,5,1,0,1,1,5500,0,15000,7500,177100.11
2015/06/03,7,1,0,1,1,5500,0,15000,7500,236500.11
2015/06/04,4,1,0,1,0,5500,0,15000,0,158400.11
2015/06/05,6,1,1,1,0,5500,10000,15000,0,182600.11
2015/06/08,4,1,0,1,0,5500,0,15000,0,127600.11
2015/06/09,15,0,0,1,0,0,0,15000,0,465300.11
2015/06/10,9,1,1,0,1,5500,10000,0,7500,264000.11
2015/06/11,9,1,1,0,0,5500,10000,0,0,247500.11
2015/06/12,16,0,0,0,1,0,0,0,7500,475200.11
2015/06/15,38,1,1,0,1,5500,10000,0,7500,1101100.11
2015/06/16,6,1,0,1,1,5500,0,15000,7500,173800.11
2015/06/17,10,1,0,1,1,5500,0,15000,7500,321200.11
2015/06/18,13,1,0,1,0,5500,0,15000,0,424600.11
2015/06/19,10,1,0,1,0,5500,0,15000,0,313500.11
2015/06/23,5,0,0,1,0,0,0,15000,0,163900.11
2015/06/24,3,1,1,0,1,5500,10000,0,7500,82500.11
2015/06/25,11,1,0,1,1,5500,0,15000,7500,381700.11
2015/06/26,7,1,0,1,0,5500,0,15000,0,240900.11
2015/06/29,9,0,0,1,0,0,0,15000,0,273900.11
2015/06/30,16,1,1,0,1,5500,10000,0,7500,514800.11
2015/07/01,11,1,0,1,1,5500,0,15000,7500,390500.11
2015/07/02,3,1,0,1,1,5500,0,15000,7500,91300.11
2015/07/03,17,1,0,1,0,5500,0,15000,0,559900.11
2015/07/06,6,1,1,1,0,5500,10000,15000,0,200200.11
2015/07/07,11,1,1,0,1,5500,10000,0,7500,355300.11
2015/07/08,8,1,0,1,1,5500,0,15000,7500,246400.11
2015/07/09,11,1,0,1,1,5500,0,15000,7500,350900.11
2015/07/10,9,1,0,1,0,5500,0,15000,0,290400.11
2015/07/13,8,1,1,1,0,5500,10000,15000,0,264000.11
2015/07/14,9,1,0,1,0,5500,0,15000,0,291500.11
2015/07/15,5,0,0,1,0,0,0,15000,0,173800.11
2015/07/16,6,1,1,0,1,5500,10000,0,7500,191400.11
2015/07/17,9,1,1,0,1,5500,10000,0,7500,291500.11
2015/07/20,12,1,0,1,1,5500,0,15000,7500,365200.11
2015/07/21,10,1,0,1,1,5500,0,15000,7500,320100.11
2015/07/22,5,1,0,1,0,5500,0,15000,0,155100.11
2015/07/23,8,1,1,1,0,5500,10000,15000,0,264000.11
2015/07/24,6,1,0,1,0,5500,0,15000,0,182600.11
2015/07/27,1,0,0,1,0,0,0,15000,0,27500.11
2015/07/28,8,1,1,0,1,5500,10000,0,7500,246400.11
2015/07/29,4,1,0,1,1,5500,0,15000,7500,136400.11
2015/07/30,6,1,0,1,1,5500,0,15000,7500,204600.11
2015/07/31,8,1,0,1,0,5500,0,15000,0,273900.11
2015/08/03,12,1,1,1,0,5500,10000,15000,0,413600.11
2015/08/04,3,1,1,0,1,5500,10000,0,7500,100100.11
2015/08/05,3,1,0,1,1,5500,0,15000,7500,91300.11
2015/08/06,6,1,0,1,1,5500,0,15000,7500,204600.11
2015/08/07,12,1,0,1,0,5500,0,15000,0,392700.11
2015/08/10,3,1,1,1,0,5500,10000,15000,0,100100.11
2015/08/11,4,1,0,1,0,5500,0,15000,0,118800.11
2015/08/12,6,1,0,1,0,5500,0,15000,0,182600.11
2015/08/13,8,0,0,1,0,0,0,15000,0,247500.11
2015/08/14,10,1,1,0,1,5500,10000,0,7500,311300.11
2015/08/17,8,1,0,1,1,5500,0,15000,7500,248600.11
2015/08/18,9,1,0,1,1,5500,0,15000,7500,273900.11
2015/08/19,10,1,0,1,0,5500,0,15000,0,319000.11
2015/08/20,8,1,1,1,0,5500,10000,15000,0,255200.11
2015/08/21,6,1,1,0,1,5500,10000,0,7500,213400.11
2015/08/24,4,1,0,1,1,5500,0,15000,7500,119900.11
2015/08/25,9,1,0,1,1,5500,0,15000,7500,291500.11
2015/08/26,3,1,0,1,0,5500,0,15000,0,92400.11
2015/08/27,6,1,1,1,0,5500,10000,15000,0,235400.11
2015/08/28,2,1,0,1,0,5500,0,15000,0,55000.11
2015/08/31,33,0,0,1,0,0,0,15000,0,1640100.11
2015/09/01,6,1,1,0,1,5500,10000,0,7500,183700.11
2015/09/02,8,1,1,0,1,5500,10000,0,7500,256300.11
2015/09/03,5,1,0,1,1,5500,0,15000,7500,146300.11
2015/09/04,6,1,0,1,1,5500,0,15000,7500,204600.11
2015/09/07,10,1,0,1,0,5500,0,15000,0,327800.11
2015/09/08,3,1,1,1,0,5500,10000,15000,0,100100.11
2015/09/09,3,1,0,1,0,5500,0,15000,0,91300.11
2015/09/10,6,1,0,1,0,5500,0,15000,0,182600.11
2015/09/11,4,0,0,1,0,0,0,15000,0,127600.11
2015/09/14,3,1,1,0,1,5500,10000,0,7500,91300.11
2015/09/15,4,1,0,1,1,5500,0,15000,7500,128700.11
2015/09/16,6,1,0,1,1,5500,0,15000,7500,182600.11
2015/09/17,7,1,0,1,0,5500,0,15000,0,262900.11
2015/09/18,3,1,1,1,0,5500,10000,15000,0,100100.11
2015/09/21,7,1,1,0,1,5500,10000,0,7500,221100.11
2015/09/22,4,1,0,1,1,5500,0,15000,7500,137500.11
2015/09/23,6,1,0,1,1,5500,0,15000,7500,182600.11
2015/09/24,7,1,0,1,0,5500,0,15000,0,237600.11
2015/09/25,4,1,1,1,0,5500,10000,15000,0,140800.11
2015/09/28,5,1,0,1,0,5500,0,15000,0,165000.11
2015/09/29,10,0,0,1,0,0,0,15000,0,293700.11
2015/09/30,5,1,1,0,1,5500,10000,0,7500,168300.11
2015/10/01,1,1,1,0,1,5500,10000,0,7500,27500.11
2015/10/05,2,1,0,1,1,5500,0,15000,7500,55000.11
2015/10/07,1,1,0,1,1,5500,0,15000,7500,27500.11
2015/10/08,6,1,0,1,0,5500,0,15000,0,192500.11
2015/10/09,8,1,1,1,0,5500,10000,15000,0,255200.11
2015/10/12,8,1,0,1,0,5500,0,15000,0,247500.11
2015/10/13,7,0,0,1,0,0,0,15000,0,254100.11
2015/10/14,7,1,1,0,1,5500,10000,0,7500,281600.11
2015/10/15,6,1,0,1,1,5500,0,15000,7500,200200.11
2015/10/16,6,1,0,1,1,5500,0,15000,7500,182600.11
2015/10/19,4,1,0,1,0,5500,0,15000,0,150700.11
2015/10/20,4,1,1,1,0,5500,10000,15000,0,127600.11
2015/10/21,5,1,1,0,1,5500,10000,0,7500,163900.11
2015/10/22,8,1,0,1,1,5500,0,15000,7500,273900.11
2015/10/23,6,1,0,1,1,5500,0,15000,7500,214500.11
2015/10/26,3,1,0,1,0,5500,0,15000,0,106700.11
2015/10/27,7,1,1,1,0,5500,10000,15000,0,227700.11
2015/10/28,8,1,0,1,0,5500,0,15000,0,246400.11
2015/10/29,6,0,0,1,0,0,0,15000,0,200200.11
2015/10/30,7,1,1,0,1,5500,10000,0,7500,237600.11
2015/11/02,3,1,1,0,1,5500,10000,0,7500,108900.11
2015/11/03,7,1,0,1,1,5500,0,15000,7500,254100.11
2015/11/04,3,1,0,1,0,5500,0,15000,0,100100.11
2015/11/05,3,0,0,1,0,0,0,15000,0,100100.11
2015/11/06,9,1,1,0,1,5500,10000,0,7500,370700.11
2015/11/09,9,1,0,1,1,5500,0,15000,7500,334400.11
2015/11/10,10,1,0,1,1,5500,0,15000,7500,311300.11
2015/11/11,8,1,0,1,0,5500,0,15000,0,264000.11
2015/11/12,6,1,1,1,0,5500,10000,15000,0,184800.11
2015/11/13,9,1,1,0,1,5500,10000,0,7500,301400.11
2015/11/16,6,1,0,1,1,5500,0,15000,7500,232100.11
2015/11/17,9,1,0,1,1,5500,0,15000,7500,348700.11
2015/11/18,8,1,0,1,0,5500,0,15000,0,299200.11
2015/11/19,7,1,1,1,0,5500,10000,15000,0,227700.11
2015/11/20,6,1,0,1,0,5500,0,15000,0,173800.11
2015/11/23,10,0,0,1,0,0,0,15000,0,302500.11
2015/11/24,5,1,0,1,0,5500,0,15000,0,173800.11
2015/11/25,6,0,0,1,0,0,0,15000,0,182600.11
2015/11/26,8,1,1,0,1,5500,10000,0,7500,228800.11
2015/11/27,11,1,0,1,1,5500,0,15000,7500,342100.11
2015/11/30,12,1,0,1,1,5500,0,15000,7500,409200.11
2015/12/01,4,1,0,1,0,5500,0,15000,0,110000.11
2015/12/02,11,1,1,1,0,5500,10000,15000,0,394900.11
2015/12/03,8,1,1,0,1,5500,10000,0,7500,255200.11
2015/12/04,4,1,0,1,1,5500,0,15000,7500,127600.11
2015/12/07,10,1,0,1,1,5500,0,15000,7500,310200.11
2015/12/08,6,1,0,1,0,5500,0,15000,0,191400.11
2015/12/09,7,1,1,1,0,5500,10000,15000,0,220000.11
2015/12/10,14,1,0,1,0,5500,0,15000,0,412500.11
2015/12/11,10,0,0,1,0,0,0,15000,0,367400.11
2015/12/14,3,1,1,0,1,5500,10000,0,7500,101200.11
2015/12/15,11,1,1,0,1,5500,10000,0,7500,365200.11
2015/12/16,4,1,0,1,1,5500,0,15000,7500,127600.11
2015/12/17,2,1,0,1,1,5500,0,15000,7500,64900.11
2015/12/18,8,1,0,1,0,5500,0,15000,0,265100.11
2015/12/21,6,1,0,1,0,5500,0,15000,0,202400.11
2015/12/22,3,0,0,1,0,0,0,15000,0,101200.11
2015/12/23,3,1,1,0,1,5500,10000,0,7500,108900.11
2015/12/24,6,1,0,1,1,5500,0,15000,7500,193600.11
2015/12/25,1,1,0,1,1,5500,0,15000,7500,36300.11
2015/12/28,9,1,0,1,0,5500,0,15000,0,266200.11
2015/12/29,5,1,1,1,0,5500,10000,15000,0,165000.11
2015/12/30,5,1,1,0,1,5500,10000,0,7500,172700.11
2015/12/31,4,1,0,1,1,5500,0,15000,7500,127600.11
2016/01/01,1,1,0,1,1,7000,0,15000,7500,27500.11
2016/01/04,6,1,0,1,0,7000,0,15000,0,210100.11
2016/01/05,5,1,1,1,0,7000,10000,15000,0,173800.11
2016/01/06,7,1,0,1,0,7000,0,15000,0,227700.11
2016/01/07,5,1,1,1,1,7000,10000,15000,7500,172700.11
2016/01/08,7,0,0,1,0,0,0,15000,0,229900.11
2016/01/11,3,1,1,0,1,7000,10000,0,7500,91300.11
2016/01/12,5,1,0,1,1,7000,0,15000,7500,155100.11
2016/01/13,3,1,0,1,1,7000,0,15000,7500,91300.11
2016/01/14,6,1,0,1,0,7000,0,15000,0,191400.11
2016/01/15,8,1,1,1,0,7000,10000,15000,0,272800.11
2016/01/18,2,1,1,0,1,7000,10000,0,7500,73700.11
2016/01/19,8,1,0,1,1,7000,0,15000,7500,246400.11
2016/01/20,10,1,0,1,1,7000,0,15000,7500,321200.11
2016/01/21,9,1,0,1,0,7000,0,15000,0,301400.11
2016/01/22,3,1,1,1,0,7000,10000,15000,0,100100.11
2016/01/25,2,1,0,1,0,7000,0,15000,0,63800.11
2016/01/26,8,0,0,1,0,0,0,15000,0,264000.11
2016/01/27,3,1,1,0,1,7000,10000,0,7500,123200.11
2016/01/28,3,1,1,0,1,7000,10000,0,7500,82500.11
2016/02/01,1,1,0,1,0,7000,0,15000,0,37400.11
2016/02/02,1,0,0,1,0,0,0,15000,0,27500.11
2016/02/03,1,1,1,0,1,7000,10000,0,7500,36300.11
2016/02/15,9,1,0,1,1,7000,0,15000,7500,284900.11
2016/02/16,4,1,0,1,1,7000,0,15000,7500,128700.11
2016/02/17,6,1,0,1,0,7000,0,15000,0,200200.11
2016/02/18,6,1,1,1,0,7000,10000,15000,0,191400.11
2016/02/19,1,1,1,0,1,7000,10000,0,7500,27500.11
2016/02/22,6,1,0,1,1,7000,0,15000,7500,209000.11
2016/02/23,5,1,0,1,1,7000,0,15000,7500,147400.11
2016/02/24,3,1,0,1,0,7000,0,15000,0,100100.11
2016/02/25,3,1,1,1,0,7000,10000,15000,0,100100.11
2016/02/26,4,1,0,1,0,7000,0,15000,0,127600.11
2016/02/29,4,0,0,1,0,0,0,15000,0,128700.11
2016/03/01,4,1,1,0,1,7000,10000,0,7500,139700.11
2016/03/02,2,1,1,0,1,7000,10000,0,7500,55000.11
2016/03/03,3,1,0,1,1,7000,0,15000,7500,82500.11
2016/03/04,4,1,0,1,1,7000,0,15000,7500,110000.11
2016/03/07,6,1,0,1,0,7000,0,15000,0,191400.11
2016/03/08,4,1,1,1,0,7000,10000,15000,0,118800.11
2016/03/09,7,1,0,1,0,7000,0,15000,0,245300.11
2016/03/10,9,1,1,0,1,7000,10000,0,7500,283800.11
2016/03/11,9,1,0,1,1,7000,0,15000,7500,273900.11
2016/03/14,8,1,0,1,1,7000,0,15000,7500,264000.11
2016/03/15,3,1,0,1,0,7000,0,15000,0,101200.11
2016/03/16,19,1,1,1,0,7000,10000,15000,0,548900.11
2016/03/17,8,1,0,1,0,7000,0,15000,0,255200.11
2016/03/18,2,1,1,1,0,7000,10000,15000,0,72600.11
2016/03/21,9,1,1,0,1,7000,10000,0,7500,301400.11
2016/03/22,3,1,0,1,1,7000,0,15000,7500,100100.11
2016/03/23,4,1,0,1,1,7000,0,15000,7500,127600.11
2016/03/24,6,1,0,1,0,7000,0,15000,0,200200.11
2016/03/25,3,1,1,1,0,7000,10000,15000,0,108900.11
2016/03/28,6,1,0,1,0,7000,0,15000,0,201300.11
2016/03/29,5,0,0,1,0,0,0,15000,0,165000.11
2016/03/30,3,1,1,0,1,7000,10000,0,7500,100100.11
2016/03/31,3,1,1,0,1,7000,10000,0,7500,101200.11
2016/04/01,3,1,0,1,1,7000,0,15000,7500,91300.11
2016/04/05,8,1,0,1,1,7000,0,15000,7500,237600.11
2016/04/06,5,1,0,1,0,7000,0,15000,0,137500.11
2016/04/07,8,1,1,1,0,7000,10000,15000,0,265100.11
2016/04/08,7,1,0,1,0,7000,0,15000,0,249700.11
2016/04/11,3,1,1,0,1,7000,10000,0,7500,102300.11
2016/04/12,5,1,0,1,1,7000,0,15000,7500,155100.11
2016/04/13,4,1,0,1,1,7000,0,15000,7500,140800.11
2016/04/14,6,1,0,1,0,7000,0,15000,0,191400.11
2016/04/15,3,1,1,1,0,7000,10000,15000,0,100100.11
2016/04/18,5,1,1,0,1,7000,10000,0,7500,147400.11
2016/04/19,6,1,0,1,1,7000,0,15000,7500,192500.11
2016/04/20,5,1,0,1,1,7000,0,15000,7500,155100.11
2016/04/21,5,1,0,1,0,7000,0,15000,0,160600.11
2016/04/22,7,1,1,1,0,7000,10000,15000,0,242000.11
2016/04/25,4,1,0,1,0,7000,0,15000,0,127600.11
2016/04/26,6,0,0,1,0,0,0,15000,0,200200.11
2016/04/27,7,1,1,0,1,7000,10000,0,7500,245300.11
2016/04/28,6,1,1,0,1,7000,10000,0,7500,220000.11
2016/05/03,2,1,0,1,1,7000,0,15000,7500,91300.11
2016/05/04,6,1,0,1,1,7000,0,15000,7500,204600.11
2016/05/05,2,1,0,1,0,7000,0,15000,0,64900.11
2016/05/09,2,1,1,1,0,7000,10000,15000,0,63800.11
2016/05/10,4,1,0,1,0,7000,0,15000,0,119900.11
2016/05/11,6,1,1,0,1,7000,10000,0,7500,287100.11
2016/05/12,2,1,0,1,1,7000,0,15000,7500,110000.11
2016/05/13,4,1,0,1,1,7000,0,15000,7500,110000.11
2016/05/16,2,1,0,1,0,7000,0,15000,0,55000.11
2016/05/17,6,1,1,1,0,7000,10000,15000,0,204600.11
2016/05/18,3,1,1,0,1,7000,10000,0,7500,110000.11
2016/05/19,3,1,0,1,1,7000,0,15000,7500,92400.11
2016/05/20,2,1,0,1,1,7000,0,15000,7500,64900.11
2016/05/23,6,1,0,1,0,7000,0,15000,0,211200.11
2016/05/24,4,1,1,1,0,7000,10000,15000,0,118800.11
2016/05/25,1,1,0,1,0,7000,0,15000,0,27500.11
2016/05/26,5,0,0,1,0,0,0,15000,0,172700.11
2016/05/27,19,1,1,0,1,7000,10000,0,7500,878900.11
2016/05/30,10,1,1,0,1,7000,10000,0,7500,302500.11
2016/05/31,2,1,0,1,1,7000,0,15000,7500,72600.11
2016/06/01,4,1,0,1,1,7000,0,15000,7500,118800.11
2016/06/02,6,1,1,1,0,7000,10000,15000,0,182600.11
2016/06/03,9,1,1,0,1,7000,10000,0,7500,304700.11
2016/06/06,24,1,0,1,1,7000,0,15000,7500,1127500.11
2016/06/07,11,1,0,1,1,7000,0,15000,7500,431200.11
2016/06/08,1,1,0,1,0,7000,0,15000,0,37400.11
2016/06/09,1,1,1,1,0,7000,10000,15000,0,36300.11
2016/06/10,1,1,0,1,0,7000,0,15000,0,37400.11
2016/06/11,3,0,0,1,0,0,0,15000,0,165000.11
2016/06/12,58,1,1,0,1,7000,10000,0,7500,3190000.11
2016/06/13,33,1,1,0,1,7000,10000,0,7500,1796300.11
2016/06/14,6,1,1,1,0,7000,10000,15000,0,182600.11
2016/06/15,5,1,1,0,1,7000,10000,0,7500,146300.11
2016/06/16,2,1,0,1,1,7000,0,15000,7500,63800.11
2016/06/17,3,1,0,1,1,7000,0,15000,7500,92400.11
2016/06/20,65,1,0,1,0,7000,0,15000,0,3446300.11
2016/06/21,42,1,1,1,0,7000,10000,15000,0,2255000.11
2016/06/22,5,1,0,1,0,7000,0,15000,0,155100.11
2016/06/23,18,0,0,1,0,0,0,15000,0,870100.11
2016/06/24,13,1,1,0,1,7000,10000,0,7500,540100.11
2016/06/27,13,1,1,0,1,7000,10000,0,7500,507100.11
2016/06/28,15,1,0,1,1,7000,0,15000,7500,778800.11
2016/06/29,7,1,1,1,0,7000,10000,15000,0,192500.11
2016/06/30,22,1,1,0,1,7000,10000,0,7500,1098900.11
2016/07/01,18,1,0,1,1,7000,0,15000,7500,772200.11
2016/07/04,24,1,0,1,1,7000,0,15000,7500,1140700.11
2016/07/05,13,1,0,1,0,7000,0,15000,0,557700.11
2016/07/06,9,1,1,1,0,7000,10000,15000,0,282700.11
2016/07/07,13,1,0,1,0,7000,0,15000,0,660000.11
2016/07/08,8,0,0,1,0,0,0,15000,0,301400.11
2016/07/11,15,1,1,0,1,7000,10000,0,7500,643500.11
2016/07/12,17,1,1,0,1,7000,10000,0,7500,842600.11
2016/07/13,11,1,0,1,1,7000,0,15000,7500,540100.11
2016/07/14,17,1,0,1,1,7000,0,15000,7500,851400.11
2016/07/15,15,1,1,1,0,7000,10000,15000,0,598400.11
2016/07/18,3,1,1,0,1,7000,10000,0,7500,82500.11
2016/07/19,31,1,0,1,1,7000,0,15000,7500,1672000.11
2016/07/20,12,1,0,1,1,7000,0,15000,7500,504900.11
2016/07/21,19,1,0,1,0,7000,0,15000,0,863500.11
2016/07/22,15,1,1,1,0,7000,10000,15000,0,677600.11
2016/07/25,32,1,0,1,0,7000,0,15000,0,1586200.11
2016/07/26,11,0,0,1,0,0,0,15000,0,511500.11
2016/07/27,3,1,1,0,1,7000,10000,0,7500,108900.11
2016/07/28,11,1,1,0,1,7000,10000,0,7500,448800.11
2016/07/29,8,1,0,1,1,7000,0,15000,7500,268400.11
2016/08/01,17,1,0,1,1,7000,0,15000,7500,715000.11
2016/08/02,15,1,0,1,0,7000,0,15000,0,622600.11
2016/08/03,18,1,1,1,0,7000,10000,15000,0,684200.11
2016/08/04,17,1,1,1,0,7000,10000,15000,0,710600.11
2016/08/05,23,1,1,0,1,7000,10000,0,7500,1125300.11
2016/08/08,19,1,0,1,1,7000,0,15000,7500,705100.11
2016/08/09,4,1,0,1,1,7000,0,15000,7500,137500.11
2016/08/10,13,1,0,1,0,7000,0,15000,0,631400.11
2016/08/11,7,1,1,1,0,7000,10000,15000,0,269500.11
2016/08/12,9,1,0,1,0,7000,0,15000,0,412500.11
2016/08/15,8,0,0,1,0,0,0,15000,0,338800.11
2016/08/16,10,1,1,0,1,7000,10000,0,7500,447700.11
2016/08/17,10,1,1,0,1,7000,10000,0,7500,430100.11
2016/08/18,5,1,0,1,1,7000,0,15000,7500,188100.11
2016/08/19,15,1,0,1,1,7000,0,15000,7500,760100.11
2016/08/22,2,1,0,1,0,7000,0,15000,0,63800.11
2016/08/23,16,1,1,1,0,7000,10000,15000,0,713900.11
2016/08/24,7,1,1,1,0,7000,10000,15000,0,328900.11
2016/08/25,15,1,1,0,1,7000,10000,0,7500,806300.11
2016/08/26,13,1,0,1,1,7000,0,15000,7500,586300.11
2016/08/29,35,1,0,1,1,7000,0,15000,7500,1823800.11
2016/08/30,8,1,0,1,0,7000,0,15000,0,246400.11
2016/08/31,6,1,1,1,0,7000,10000,15000,0,265100.11
